"","Primary.MSA.City","SNAP.cor","Unemployment.cor","HPI.cor","oneBR.cor","inflation.cor","income.cor","uninsured.cor","disability.cor","overdose.cor","beds.cor"
"1","Atlanta",-0.211327108450841,0.686535189462723,-0.779192243870217,-0.838532580180591,-0.163650203776601,-0.954085619434339,0.920063859279024,-0.511169173004316,-0.915599553118682,0.848001037893637
"2","Austin",-0.415027221813442,0.020021108926558,-0.496888081981306,-0.59927317909468,NA,-0.548871688135376,0.89300716436909,0.14004432929324,-0.346176937692436,0.61840465289895
"3","Baltimore",-0.0670959076287364,0.660114462156425,-0.425930312426942,-0.487668233324966,NA,-0.784917476837072,0.823934575241222,-0.815848201224331,-0.764069656658552,0.229939658890601
"4","Birmingham",-0.228837421224824,0.633164537448478,-0.60860700006896,-0.758468419413484,NA,-0.940991446951825,0.894866180495892,-0.214269046573403,-0.710564741901087,0.844583753713322
"5","Boston",0.370399062384015,NA,0.452832579801116,NA,-0.0686899267022972,0.646485299933111,-0.886280325686695,0.742795372543778,0.0425370339045706,0.954276211127837
"6","Buffalo",-0.538855926549472,0.107613651771206,-0.832505367448018,-0.882132541987364,NA,-0.860292506852134,-0.873742285900598,-0.435994492207385,-0.713856813482514,0.258956701158634
"7","Charlotte",-0.161297659964679,0.742086033878904,-0.640748202511225,NA,NA,-0.90134827889358,0.912464112328962,-0.249082063999125,-0.819892451092996,0.255959032267424
"8","Chicago",-0.0725738269704636,0.546252152864527,-0.433203328705689,-0.919624339203371,0.0580178026790242,-0.869316746359425,0.83071657186524,-0.548271045640724,-0.743533163293995,0.901457462277818
"9","Cincinnati",0.391921280486947,0.305510087779802,-0.462879716030239,NA,NA,-0.210863500205224,0.492577659999469,-0.470742631747188,-0.212102543647259,0.900496250206827
"10","Cleveland",0.3891994646712,0.333194217333233,-0.69128886384726,-0.827404624319685,0.414396545547046,-0.892968668798883,0.933796013225417,-0.744477192290764,-0.540829198052023,0.975698393906342
"11","Columbus",-0.358561651267774,-0.486585338220883,0.928255639976839,0.864888520694592,NA,0.907003361142034,-0.89303604494618,0.587780995194351,0.781169737677154,0.7824488958032
"12","Dallas",-0.782470169524846,0.256869526331655,-0.44325095541071,-0.331237605439472,0.241701035250471,-0.618682610894834,0.653608049771237,-0.654128882138221,-0.455635109751374,0.522785707147078
"13","Denver",-0.686025600719092,0.374370113266222,-0.63287909800858,-0.656275612156967,-0.291661720828114,-0.738769892498411,0.625301241286717,-0.407293038297249,-0.362238643212947,-0.406039817351937
"14","Detroit",-0.442156048580941,0.0496355300961571,0.028075377381818,-0.294316765671724,0.20355752514907,-0.570096432673811,0.940650614151982,-0.123761463510463,-0.395089748432326,0.684307146530063
"15","Fresno",-0.399510943873852,NA,-0.364200208995636,-0.100603579621605,NA,-0.5555961109797,0.924191940901573,-0.766471005924569,-0.488269067139228,0.743612036124957
"16","Houston",-0.878610270783104,NA,-0.849052542496125,-0.808782492985031,0.417343194259708,-0.889567726217505,0.877838347456433,0.351490963298621,-0.667596485726073,0.757650424702293
"17","Indianapolis",-0.174072080831747,-0.111397954083275,-0.466068465373931,-0.652385265472755,NA,-0.612873280534297,0.251889300599371,0.158515682138505,-0.484308510153704,0.52861298748363
"18","Jacksonville",-0.343747997715622,0.602206969810886,-0.604847732225625,-0.76181615156849,NA,-0.880335809661214,0.942625947038507,-0.633443493731858,0.137632143616507,0.732109880047113
"19","Las Vegas",-0.745110709450462,0.32703294000027,-0.498524831147485,0.247253639285567,NA,-0.827260521995414,0.707669314921031,-0.757744206711681,-0.686587759850614,0.799610367083778
"20","Los Angeles",-0.0874700092307534,-0.270207610596914,0.832852866281159,NA,0.595432553879262,0.667198157454146,-0.676177279404056,0.275375766397748,0.775458442835881,0.785773294035126
"21","Memphis",0.674705825238579,0.372941843024843,-0.878814904206342,NA,NA,-0.771775751633323,0.71010510932166,-0.247342203761122,-0.564857068142744,0.913379593636724
"22","Miami",-0.600604043840756,0.412461488239434,-0.577556040480132,NA,0.163661226516862,-0.912146066290331,0.888534317516086,-0.338145841499525,-0.694128725126113,0.850570720239785
"23","Milwaukee",-0.00628112578422547,NA,-0.736244853786002,-0.796574014584103,NA,-0.830843273212937,0.65147683146366,0.583156205440678,-0.813086632489908,0.96065607943638
"24","Minneapolis",0.00301532990343365,0.322570856875106,-0.455353864245639,NA,-0.0178164384686366,-0.543521642160684,0.470296502824604,-0.207268167420996,-0.552418414513746,0.527307240246933
"25","Nashville",0.138338903790853,NA,-0.603108984462258,-0.756104960064113,NA,-0.802682960556315,0.273329528299416,0.0387960350367308,-0.602426820897849,-0.150086815936264
"26","New York",0.260550359285724,-0.454575011486552,0.536845809918714,NA,-0.389624880113829,0.855866284188513,-0.951034615524751,0.737908390039737,0.563218212964957,0.984262209334815
"27","Oklahoma City",-0.650877805393867,0.260856180493223,-0.374744133280037,-0.608660305663928,NA,-0.562383980779438,0.108791571070681,-0.0326795347429459,-0.332379319120494,0.18984937697548
"28","Philadelphia",-0.7732360211445,0.0291124483041864,-0.531680937272989,NA,0.409473185670781,-0.867762996327034,0.884819969600725,-0.888943416383553,-0.676680408976993,0.876535668589053
"29","Phoenix",-0.428725312749257,0.161212149984162,0.0204868866876519,-0.421391855607828,-0.0651188504753648,-0.522612000299679,0.743877027526221,-0.812955435417637,-0.0353137551820734,0.599307038444733
"30","Pittsburgh",0.048051868354151,0.175291473847885,-0.832713725411965,-0.780816354672341,NA,-0.718530154163662,0.64555944304382,-0.628846477513396,-0.428214241458723,0.959077407185448
"31","Portland",0.0237360429328235,0.683960322652419,-0.66450793039121,NA,NA,-0.782888707900539,0.93090415085037,-0.434798460717621,-0.476007685366361,0.643862198879609
"32","Raleigh",-0.271231860687224,0.501473604217913,-0.83957573673957,-0.835585309328199,NA,-0.852051646142108,0.854310566610171,-0.616346870282369,-0.350900577365753,0.976049909238467
"33","Richmond",-0.0802341135932126,0.427898745789995,-0.5371330891877,-0.893732276015454,NA,-0.961063369611881,0.813591730615001,-0.779353259484048,-0.882296241445499,0.931439032472028
"34","Riverside",-0.77700730156078,NA,-0.0730267995545418,-0.20309927774648,NA,-0.549705437680002,0.740505684933009,-0.376569618428735,-0.060048703297897,0.566346599893875
"35","Sacramento",0.325402957350471,NA,0.710930102986787,0.891802883802163,NA,0.796396587769925,-0.445503278257121,-0.413056297341031,0.195847093118538,0.399548196781788
"36","Salt Lake City",0.24993260637237,0.0224146124487325,-0.691107880283507,-0.776561685824405,NA,-0.670887170195333,0.635891173087986,-0.371808185625738,-0.583654455951791,0.329660724869092
"37","San Antonio",-0.101289364205153,0.355155757421777,-0.570021977523308,-0.524816079441712,NA,-0.557616774472803,0.836614764565614,-0.90686448494362,-0.337434526606471,-0.247924087355014
"38","San Diego",-0.0204017072688916,0.397364355637659,-0.75866442178751,-0.394873012277936,0.121551664783761,-0.448750164490678,0.696519631782134,-0.484777450320355,0.0702351690972525,0.136124872595782
"39","San Francisco",0.190429930262513,-0.270496553829655,0.746260098546827,0.781775001774903,0.0348893262539874,0.8650239848884,-0.577918655321494,-0.19509830284748,-0.0788249111831528,0.278208322874242
"40","San Jose",-0.29576605537446,0.0149949502385226,0.297600357453246,0.505091321118396,NA,0.413550364899636,0.081948639360089,0.275696660763183,0.217904615366348,-0.242184264546857
"41","Seattle",-0.551827170548779,0.273043279593304,0.0915851041884082,-0.106139406763625,0.228829193405408,-0.224464621388425,0.121058220009995,-0.628230329738984,0.107248801371516,0.577276246078049
"42","St. Louis",0.845818438337349,0.824944188953876,-0.656742021107294,NA,0.320050677115358,-0.63009451739078,0.796003971097734,-0.699806711025925,-0.439123857304438,0.82388448553622
"43","Tampa",-0.246316881739279,0.705096489985048,-0.646873410408481,-0.541644132074099,0.179749822479586,-0.819538964699393,0.891177730659647,-0.325050428077678,-0.594078434476562,-0.241370944668859
"44","Virginia Beach",-0.1537774921857,NA,0.0816516820469422,NA,NA,-0.856738567407443,0.889126778010979,-0.839627087654375,-0.790373245224248,0.627834480680533
"45","Washington",0.00710911073928241,0.338748793617611,-0.834857680157519,NA,0.189334358748973,-0.87254426619114,0.700762191863006,-0.726728353152321,-0.81974530684263,0.4755300292727
