F1,Primary MSA City,Primary MSA State,Year,Inflation Rate,Unemployment Rate,HPI (Not Seasonally Adjusted),Overall Homeless,Homeless Rate (Percentage of Population),Percent With A Disability,Population (persons) 3/,Total employment (number of jobs),Average earnings per job (dollars),Average wages and salaries (dollars),Per capita net earnings 4/ (dollars),Percentage of Uninsured,Total Year-Round Beds (ES+TH),Studio Rental Price,1BR Rental Price,2BR Rental Price,3BR Rental Price,4BR Rental Price,nSNAP,Overdose Deaths,Unintentional Overdose Deaths,Alcohol-Induced Deaths,Population,Sheltered Homeless_percentage,Sheltered Homeless - Under 18_percentage,Sheltered Homeless - Age 18 to 24_percentage,Sheltered Homeless - Over 24_percentage,Sheltered Homeless - Female_percentage,Sheltered Homeless - Male_percentage,Sheltered Homeless - Transgender_percentage,Sheltered Homeless - Gender Non-Conforming_percentage,Sheltered Homeless - Hispanic/Latino_percentage,Sheltered Homeless - White_percentage,Sheltered Homeless - Black or African American_percentage,Sheltered Homeless - Asian_percentage,Sheltered Homeless - American Indian or Alaska Native_percentage,Sheltered Homeless - Native Hawaiian or Other Pacific Islander_percentage,Sheltered Homeless - Multiple Races_percentage,Unsheltered Homeless_percentage,Unsheltered Homeless - Under 18_percentage,Unsheltered Homeless - Age 18 to 24_percentage,Unsheltered Homeless - Over 24_percentage,Unsheltered Homeless - Female_percentage,Unsheltered Homeless - Male_percentage,Unsheltered Homeless - Transgender_percentage,Unsheltered Homeless - Gender Non-Conforming_percentage,Unsheltered Homeless - Hispanic/Latino_percentage,Unsheltered Homeless - White_percentage,Unsheltered Homeless - Black or African American_percentage,Unsheltered Homeless - Asian_percentage,Unsheltered Homeless - American Indian or Alaska Native_percentage,Unsheltered Homeless - Native Hawaiian or Other Pacific Islander_percentage,Unsheltered Homeless - Multiple Races_percentage,Overall Homeless_percentage,Overall Homeless - Under 18_percentage,Overall Homeless - Age 18 to 24_percentage,Overall Homeless - Over 24_percentage,Overall Homeless - Female_percentage,Overall Homeless - Male_percentage,Overall Homeless - Transgender_percentage,Overall Homeless - Gender Non-Conforming_percentage,Overall Homeless - Hispanic/Latino_percentage,Overall Homeless - White_percentage,Overall Homeless - Black or African American_percentage,Overall Homeless - Asian_percentage,Overall Homeless - American Indian or Alaska Native_percentage,Overall Homeless - Native Hawaiian or Other Pacific Islander_percentage,Overall Homeless - Multiple Races_percentage
0,Atlanta,GA,2007,3.2,4.8,181.405,6840,0.138484021,,1550291,1377965,60308.5,54231.5,36294,,4806,693,752,837,1037,1163,2305827,155,26,57,4939198,0.095663304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.042820717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.138484021,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Atlanta,GA,2008,2.9,6.7,174.9125,6840,0.135533386,,1574340,1373823,58787.5,54938.5,33614,,4768,715,777,864,1070,1200,2715951,171,31,66,5046727,0.093625037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04190835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.135533386,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Atlanta,GA,2009,-2.5,10.4,164.4725,7019,0.136116874,,1596169,1316341,59742.5,55239.5,33045.5,,5254,762,827,920,1140,1278,3377151,133,40,40,5156598,0.094151221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041965653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.136116874,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Atlanta,GA,2010,1.2,10.4,151.7375,7019,0.133216673,9.1,1618043,1314438,60631,56502.5,33518.5,19.85524324,5004,791,859,955,1183,1326,3855078,166,46,107,5268860,0.09214517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041071503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.133216673,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Atlanta,GA,2011,2.9,9.8,140.065,6805,0.126806078,9.8,1645464,1356683,61490.5,58142.5,35332,19.6510235,5890,764,830,923,1144,1282,4221267,156,61,96,5366462,0.082493829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.044312249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.126806078,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Atlanta,GA,2012,1.7,8.7,134.16,6811,0.125099344,9.6,1683085,1376394,61632.5,59757.5,34865,18.38781631,4700,741,803,893,1087,1186,4376325,154,50,58,5444473,0.081422022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.043677322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125099344,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Atlanta,GA,2013,1.7,7.7,142.25,6677,0.121168018,10.2,1698143,1403913,61891.5,59713,35041,18.72723961,4111,719,784,930,1232,1496,4002078,167,49,81,5510530,0.083476544,0.012231128,0.006750712,0.064494704,0,0,0,0,0,0,0,0,0,0,0,0.037691474,0.000580706,0.003320915,0.033789853,0,0,0,0,0,0,0,0,0,0,0,0.121168018,0.012811835,0.010071627,0.098284557,0,0,0,0,0,0,0,0,0,0,0
7,Atlanta,GA,2014,2.1,6.8,155.83,6075,0.108613954,10.2,1715253,1456760,64003.5,61400.5,37745.5,15.36725766,4728,738,805,954,1263,1535,4160640,208,31,69,5593204,0.077165074,0.013140947,0.006668807,0.057355319,0,0,0,0,0,0,0,0,0,0,0,0.03144888,0.001054852,0.001483944,0.028910084,0,0,0,0,0,0,0,0,0,0,0,0.108613954,0.014195799,0.008152751,0.086265404,0,0,0,0,0,0,0,0,0,0,0
8,Atlanta,GA,2015,0.4,5.8,168.0275,5474,0.096270731,9.8,1737670,1505143,66424.5,63164.5,40238.5,13.40646661,4616,755,824,977,1294,1572,4003773,236,89,72,5686048,0.073636382,0.012152553,0.004396727,0.057087102,0.022950914,0.050298555,0.000386912,0,0.002866666,0.011150099,0.06034068,0.000140695,3.52e-05,3.52e-05,0.00193456,0.02263435,0.000140695,0.001143149,0.021350506,0.00415051,0.018360731,0.000123108,0,0.000351738,0.002919427,0.018782817,0.000193456,3.52e-05,1.76e-05,0.000685889,0.096270731,0.012293248,0.005539876,0.078437607,0.027101424,0.068659287,0.00051002,0,0.003218404,0.014069526,0.079123497,0.000334151,7.03e-05,5.28e-05,0.002620449
9,Atlanta,GA,2016,1.7,5.2,180.29,5019,0.086714415,10.4,1767514,1543906,69261,64832.5,42156,12.59558765,4213,813,873,1010,1334,1630,3778881,260,87,53,5787965,0.068452384,0.009070546,0.007463763,0.051918075,0.017951042,0.05013852,0.000362822,0,0.003628218,0.006254357,0.059710105,0.000172772,0.000362822,1.73e-05,0.00193505,0.018262032,0.00062198,0.000863861,0.01677619,0.003299951,0.014875695,8.64e-05,0,0.000656535,0.00162406,0.015497675,3.46e-05,0.000328267,0,0.000777475,0.086714415,0.009692526,0.008327625,0.068694265,0.021250992,0.065014215,0.000449208,0,0.004284753,0.007878417,0.07520778,0.000207327,0.000691089,1.73e-05,0.002712525
