Year,Primary MSA City,State,Population,Sheltered Homeless_percentage,Sheltered Homeless - Under 18_percentage,Sheltered Homeless - Age 18 to 24_percentage,Sheltered Homeless - Over 24_percentage,Sheltered Homeless - Female_percentage,Sheltered Homeless - Male_percentage,Sheltered Homeless - Transgender_percentage,Sheltered Homeless - Gender Non-Conforming_percentage,Sheltered Homeless - Hispanic/Latino_percentage,Sheltered Homeless - White_percentage,Sheltered Homeless - Black or African American_percentage,Sheltered Homeless - Asian_percentage,Sheltered Homeless - American Indian or Alaska Native_percentage,Sheltered Homeless - Native Hawaiian or Other Pacific Islander_percentage,Sheltered Homeless - Multiple Races_percentage,Unsheltered Homeless_percentage,Unsheltered Homeless - Under 18_percentage,Unsheltered Homeless - Age 18 to 24_percentage,Unsheltered Homeless - Over 24_percentage,Unsheltered Homeless - Female_percentage,Unsheltered Homeless - Male_percentage,Unsheltered Homeless - Transgender_percentage,Unsheltered Homeless - Gender Non-Conforming_percentage,Unsheltered Homeless - Hispanic/Latino_percentage,Unsheltered Homeless - White_percentage,Unsheltered Homeless - Black or African American_percentage,Unsheltered Homeless - Asian_percentage,Unsheltered Homeless - American Indian or Alaska Native_percentage,Unsheltered Homeless - Native Hawaiian or Other Pacific Islander_percentage,Unsheltered Homeless - Multiple Races_percentage,Overall Homeless_percentage,Overall Homeless - Under 18_percentage,Overall Homeless - Age 18 to 24_percentage,Overall Homeless - Over 24_percentage,Overall Homeless - Female_percentage,Overall Homeless - Male_percentage,Overall Homeless - Transgender_percentage,Overall Homeless - Gender Non-Conforming_percentage,Overall Homeless - Hispanic/Latino_percentage,Overall Homeless - White_percentage,Overall Homeless - Black or African American_percentage,Overall Homeless - Asian_percentage,Overall Homeless - American Indian or Alaska Native_percentage,Overall Homeless - Native Hawaiian or Other Pacific Islander_percentage,Overall Homeless - Multiple Races_percentage
2021,Washington,DC,6364907,0.09629363,0.0184606,0.00956809,0.068264941,0.038068113,0.057282848,0.000675579,0.00026709,0.007996975,0.013448743,0.076906073,0.001728226,0.000439912,0.000377068,0.003393608,0.013244498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.109538128,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,Dallas,TX,7773289,0.050930822,0.007422855,0.00371786,0.039790107,0.017637322,0.03315199,0.000102917,3.86E-05,0.005750462,0.017881749,0.030450431,0.000668958,0.000437395,0.000270156,0.001222134,0.024584188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07551501,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,Memphis,TN,1335407,0.04021246,0.00741347,0.001872088,0.030926901,0.012131133,0.028081327,0,0,0.000374418,0.007563237,0.030777134,0,0.000224651,0,0.001647438,0.015126475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.055338934,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,Los Angeles,CA,12972847,0.16663266,0.045988363,0.014746185,0.105898112,0.076983873,0.088099397,0.00121022,0.00033917,0.066207518,0.085833125,0.068566291,0.002335648,0.002852111,0.001379805,0.00566568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16663266,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,Las Vegas,NV,2295194,0.099730132,0.009105984,0.008626722,0.081997426,0.028799308,0.070190145,0.000566401,0.000174277,0.014639285,0.050278974,0.040737297,0.00248345,0.001481356,0.001394218,0.003354836,0.121732629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.221462761,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,Kansas City,KS,2202933,0.055562289,0.015388575,0.004085462,0.036088251,0.027100234,0.028098903,0.00022697,0.000136182,0.004857161,0.029233753,0.021153617,9.08E-05,0.001225639,0.000363152,0.00349534,0.023060166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.078622455,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,Jacksonville,FL,1641026,0.060449987,0.01285781,0.00219375,0.045398428,0.019621871,0.040401554,0.00024375,0.000182812,0.002010937,0.021145308,0.036623429,0.000304687,0.000426562,0.000304687,0.001645312,0.014015622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.074465609,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,Indianapolis,IN,2128664,0.078218075,0.013012857,0.003382403,0.061822815,0.026495492,0.051628627,9.40E-05,0,0.003570315,0.028468561,0.045568488,0.000751645,0.000375823,0.000281867,0.002771692,0.012355167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.090573242,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,Houston,TX,7215837,0.02130037,0.005460212,0.001926318,0.01391384,0.011169875,0.010047344,6.93E-05,1.39E-05,0.003381451,0.007372672,0.012860601,0.00034646,0.000207876,6.93E-05,0.000443469,0.020926193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.042226564,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,Fresno,CA,1012992,0.098618745,0.022705016,0.006910222,0.069003506,0.042547226,0.055183062,0.00078974,9.87E-05,0.047186947,0.068904789,0.020434515,0.001480762,0.002764089,0.002073067,0.002961524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.098618745,0,0,0,0,0,0,0,0,0,0,0,0,0,0
